Customer ID,Brand,Product Description,Quantity
CUST5271,Aero Wood Round Dining Table,50'' Bistro Table,1
CUST5271,Nicola Track Vegan Leather Dining Side Chair,Dining Chair,4
CUST5271,Byron Canopy Bed,Cal King Bed 102'',1
CUST5271,Noemi Torchiere Floor Lamp,Burnished Brass,1
CUST5271,Maxwell Leather Right-Arm Bench-Seat L-Sectional,Luxe 108'' Sectional,1
CUST5271,Kyoto Closed Nightstand,26'' Nightstand,2
CUST5271,Maxwell Leather Sofa,Luxe 7' Sofa,1
CUST5981,Reclaimed Oak Reeded Round Dining Table,72'' Table,1
CUST5981,Nicola Track Vegan Leather Dining Side Chair,Dining Chair,8
CUST5981,Orizaba Rectangular Fire Table,56'' W Fire Table,2
CUST5981,Mycena Obelisk Stone Table Lamp,19'' Lamp,1
CUST5981,Arno Fabric Bar & Counter Stool,Counter Stool 36 1/4'' H,3
CUST5981,Ligné Panel Bed with Footboard,Cal King Bed,1
CUST5981,Byron Canopy Bed,Cal King Bed 102'',3
CUST5981,Maxwell Leather Sofa,Classic 6' Sofa,1
CUST5981,Noemi Torchiere Floor Lamp,Burnished Brass,3
CUST5981,Mycena Obelisk Stone Table Lamp,24'' Lamp,1
CUST5981,Maxwell Leather Sofa,Luxe 9' Sofa,1
CUST5981,Kyoto Closed Nightstand,22'' Nightstand,3
CUST5981,Arno Fabric Bar & Counter Stool,Barstool 40 1/4'' H,1
CUST5981,Maxwell Leather Right-Arm Bench-Seat L-Sectional,Classic 96'' Sectional,2
CUST5981,Byron Canopy Bed,King Bed 90'',1
CUST5981,Kyoto Closed Nightstand,26'' Nightstand,2
CUST5981,Melbourne Bar Cabinet,Bar Cabinet,1
CUST8391,Aero Wood Round Dining Table,36'' Bistro Table,1
CUST8391,Nicola Track Vegan Leather Dining Side Chair,Dining Chair,4
CUST8391,Aero Wood Round Dining Table,42'' Bistro Table,1
CUST8391,Nicola Track Vegan Leather Dining Side Chair,Dining Chair,4
CUST8391,Arno Vegan Leather Dining Side Chair,Dining Side Chair,2
CUST8391,Mycena Obelisk Stone Table Lamp,19'' Lamp,1
CUST8391,Maxwell Leather Right-Arm Bench-Seat L-Sectional,Classic 96'' Sectional,2
CUST8391,Byron Canopy Bed,Cal King Bed 102'',1
CUST8391,Ligné Panel Bed with Footboard,Cal King Bed,1
CUST8391,Maxwell Leather Sofa,Classic 8' Sofa,1
CUST8391,Aurelie Fabric Dining Side Chair,Dining Side Chair,2
CUST8286,Byron Emperador Dining Table,72'' Dining Table,1
CUST8286,Arno Fabric Dining Armchair,Dining Chair,4
CUST8286,Maxwell Leather Right-Arm Bench-Seat L-Sectional,Luxe 12'' Sectional,3
CUST8286,Kyoto Closed Nightstand,32'' Nightstand,2
CUST8286,Maxwell Leather Sofa,Luxe 7' Sofa,1
CUST8286,Kyoto Closed Nightstand,18'' Nightstand,2
CUST8286,Byron Canopy Bed,Cal King Bed 90'',1
CUST8286,Arno Fabric Bar & Counter Stool,Barstool 40 1/4'' H,3
CUST8286,Orizaba Rectangular Fire Table,56'' W Fire Table,1
CUST8286,Nicola Track Vegan Leather Dining Side Chair,Dining Side Chair,2
CUST8286,Maxwell Leather Right-Arm Bench-Seat L-Sectional,Classic 96'' Sectional,1
CUST8286,Mycena Obelisk Stone Table Lamp,24'' Lamp,3
CUST8286,Ligné Panel Bed with Footboard,Cal King Bed,1
CUST8286,Byron Canopy Bed,King Bed 90'',1
CUST8286,Maxwell Leather Sofa,Classic 8' Sofa,1
CUST8286,Aurelie Fabric Dining Side Chair,Dining Side Chair,2
CUST8286,Kyoto Closed Nightstand,22'' Nightstand,1
CUST3051,Aero Wood Round Dining Table,50'' Bistro Table,1
CUST3051,Nicola Track Vegan Leather Dining Side Chair,Dining Chair,4
CUST3051,Reclaimed Oak Reeded Round Dining Table,72'' Table,1
CUST3051,Nicola Track Vegan Leather Dining Side Chair,Dining Chair,8
CUST3051,Byron Emperador Dining Table,84'' Dining Table,1
CUST3051,Arno Fabric Dining Armchair,Dining Chair,8
CUST3051,Kyoto Closed Nightstand,18'' Nightstand,1
CUST3051,Terreno Wall Fountain 22'',Carbon Fountain,1
CUST3051,Arno Vegan Leather Dining Side Chair,Dining Side Chair,2
CUST3051,Maxwell Leather Sofa,Classic 6' Sofa,1
CUST3051,Ligné Panel Bed with Footboard,Cal King Bed,1
CUST3051,Byron Canopy Bed,Cal King Bed 102'',1
CUST3051,Maxwell Leather Sofa,Luxe 9' Sofa,1
CUST3051,Kyoto Closed Nightstand,26'' Nightstand,3
CUST3051,Arno Fabric Bar & Counter Stool,Counter Stool 36 1/4'' H,3
CUST3051,Maxwell Leather Sofa,Luxe 7' Sofa,1
CUST3051,Ligné Panel Bed with Footboard,Queen Bed,1
CUST3051,Nicola Track Vegan Leather Dining Side Chair,Dining Side Chair,2
CUST3051,Melbourne Bar Cabinet,Bar Cabinet,1
CUST3051,Byron Canopy Bed,Cal King Bed 90'',1
CUST4340,Reclaimed Oak Reeded Round Dining Table,48'' Table,1
CUST4340,Nicola Track Vegan Leather Dining Side Chair,Dining Chair,4
CUST4340,Byron Emperador Dining Table,84'' Dining Table,1
CUST4340,Arno Fabric Dining Armchair,Dining Chair,8
CUST4340,Kyoto Closed Nightstand,32'' Nightstand,1
CUST4340,Nicola Track Vegan Leather Dining Side Chair,Dining Side Chair,2
CUST4340,Maxwell Leather Sofa,Luxe 7' Sofa,2
CUST4340,Orizaba Rectangular Fire Table,72'' W Fire Table,3
CUST4340,Noemi Torchiere Floor Lamp,Burnished Brass,1
CUST4340,Mycena Obelisk Stone Table Lamp,19'' Lamp,2
CUST4340,Byron Canopy Bed,Cal King Bed 102'',1
CUST4340,Orizaba Rectangular Fire Table,56'' W Fire Table,3
CUST4340,Kyoto Closed Nightstand,26'' Nightstand,2
CUST4340,Aurelie Fabric Dining Side Chair,Dining Side Chair,2
CUST4340,Arno Vegan Leather Dining Side Chair,Dining Side Chair,2
CUST4340,Kyoto Closed Nightstand,18'' Nightstand,2
CUST4225,Aero Wood Round Dining Table,50'' Bistro Table,1
CUST4225,Nicola Track Vegan Leather Dining Side Chair,Dining Chair,4
CUST4225,Byron Emperador Dining Table,84'' Dining Table,1
CUST4225,Arno Fabric Dining Armchair,Dining Chair,8
CUST4225,Byron Emperador Dining Table,72'' Dining Table,1
CUST4225,Arno Fabric Dining Armchair,Dining Chair,4
CUST4225,Maxwell Leather Right-Arm Bench-Seat L-Sectional,Classic 96'' Sectional,1
CUST5710,Aero Wood Round Dining Table,42'' Bistro Table,1
CUST5710,Nicola Track Vegan Leather Dining Side Chair,Dining Chair,4
CUST5710,Reclaimed Oak Reeded Round Dining Table,60'' Table,1
CUST5710,Nicola Track Vegan Leather Dining Side Chair,Dining Chair,6
CUST5710,Aero Wood Round Dining Table,36'' Bistro Table,1
CUST5710,Nicola Track Vegan Leather Dining Side Chair,Dining Chair,4
CUST5710,Maxwell Leather Right-Arm Bench-Seat L-Sectional,Classic 96'' Sectional,2
CUST5710,Thaddeus Curved Leather Dining Armchair,Dining Armchair,2
CUST5710,Orizaba Rectangular Fire Table,56'' W Fire Table,2
CUST5710,Maxwell Leather Sofa,Classic 6' Sofa,1
CUST5710,Orizaba Rectangular Fire Table,72'' W Fire Table,3
CUST5710,Byron Canopy Bed,King Bed 90'',1
CUST5710,Terreno Wall Fountain 22'',Carbon Fountain,3
CUST5710,Aurelie Fabric Dining Side Chair,Dining Side Chair,2
CUST5710,Melbourne Bar Cabinet,Bar Cabinet,2
CUST6434,Reclaimed Oak Reeded Round Dining Table,72'' Table,1
CUST6434,Nicola Track Vegan Leather Dining Side Chair,Dining Chair,8
CUST6434,Orizaba Rectangular Fire Table,56'' W Fire Table,3
CUST6434,Byron Canopy Bed,King Bed 102'',1
CUST6434,Nicola Track Vegan Leather Dining Side Chair,Dining Side Chair,2
CUST6434,Maxwell Leather Sofa,Luxe 7' Sofa,1
CUST6434,Byron Canopy Bed,Cal King Bed 102'',1
CUST6434,Orizaba Rectangular Fire Table,72'' W Fire Table,2
CUST6434,Kyoto Closed Nightstand,22'' Nightstand,2
CUST6434,Byron Canopy Bed,King Bed 90'',1
CUST6434,Maxwell Leather Right-Arm Bench-Seat L-Sectional,Luxe 12'' Sectional,1
CUST6434,Mycena Obelisk Stone Table Lamp,24'' Lamp,2
CUST6434,Arno Vegan Leather Dining Side Chair,Dining Side Chair,2
CUST6434,Ligné Panel Bed with Footboard,Cal King Bed,1
CUST3446,Byron Emperador Dining Table,72'' Dining Table,1
CUST3446,Arno Fabric Dining Armchair,Dining Chair,4
CUST3446,Byron Emperador Dining Table,84'' Dining Table,1
CUST3446,Arno Fabric Dining Armchair,Dining Chair,8
CUST3446,Maxwell Leather Right-Arm Bench-Seat L-Sectional,Classic 72'' Sectional,1
CUST3446,Arno Fabric Dining Armchair,Dining Armchair,2
CUST3446,Byron Canopy Bed,King Bed 90'',1
CUST3446,Noemi Torchiere Floor Lamp,Burnished Brass,1
CUST3446,Byron Canopy Bed,Cal King Bed 102'',1
CUST3446,Aurelie Fabric Dining Side Chair,Dining Side Chair,2
CUST3446,Maxwell Leather Right-Arm Bench-Seat L-Sectional,Classic 96'' Sectional,1
CUST3446,Melbourne Bar Cabinet,Bar Cabinet,2
CUST3446,Arno Fabric Bar & Counter Stool,Counter Stool 36 1/4'' H,2
CUST3446,Byron Canopy Bed,Cal King Bed 90'',1
CUST3446,Terreno Wall Fountain 22'',Carbon Fountain,2
CUST3446,Kyoto Closed Nightstand,32'' Nightstand,1
CUST3446,Orizaba Rectangular Fire Table,72'' W Fire Table,1
CUST3446,Ligné Panel Bed with Footboard,Cal King Bed,1
CUST3446,Ligné Panel Bed with Footboard,King Bed,1
CUST3446,Maxwell Leather Sofa,Classic 6' Sofa,1
CUST1667,Byron Emperador Dining Table,96'' Dining Table,1
CUST1667,Arno Fabric Dining Armchair,Dining Chair,8
CUST1667,Reclaimed Oak Reeded Round Dining Table,72'' Table,1
CUST1667,Nicola Track Vegan Leather Dining Side Chair,Dining Chair,8
CUST1667,Byron Emperador Dining Table,84'' Dining Table,1
CUST1667,Arno Fabric Dining Armchair,Dining Chair,8
CUST1667,Maxwell Leather Right-Arm Bench-Seat L-Sectional,Luxe 108'' Sectional,3
CUST1667,Kyoto Closed Nightstand,22'' Nightstand,2
CUST1667,Arno Fabric Bar & Counter Stool,Barstool 40 1/4'' H,2
CUST1667,Maxwell Leather Sofa,Classic 8' Sofa,1
CUST1667,Nicola Track Vegan Leather Dining Side Chair,Dining Side Chair,2
CUST1667,Ligné Panel Bed with Footboard,Cal King Bed,1
CUST5533,Byron Emperador Dining Table,96'' Dining Table,1
CUST5533,Arno Fabric Dining Armchair,Dining Chair,8
CUST5533,Aero Wood Round Dining Table,50'' Bistro Table,1
CUST5533,Nicola Track Vegan Leather Dining Side Chair,Dining Chair,4
CUST5533,Orizaba Rectangular Fire Table,72'' W Fire Table,2
CUST5533,Maxwell Leather Right-Arm Bench-Seat L-Sectional,Classic 72'' Sectional,3
CUST5533,Ligné Panel Bed with Footboard,King Bed,1
CUST5533,Kyoto Closed Nightstand,18'' Nightstand,1
CUST5533,Kyoto Closed Nightstand,32'' Nightstand,2
CUST5533,Ligné Panel Bed with Footboard,Cal King Bed,1
CUST2289,Aero Wood Round Dining Table,30'' Bistro Table,1
CUST2289,Nicola Track Vegan Leather Dining Side Chair,Dining Chair,4
CUST2289,Byron Emperador Dining Table,96'' Dining Table,1
CUST2289,Arno Fabric Dining Armchair,Dining Chair,8
CUST2289,Mycena Obelisk Stone Table Lamp,19'' Lamp,2
CUST2289,Kyoto Closed Nightstand,22'' Nightstand,3
CUST2289,Byron Canopy Bed,Cal King Bed 90'',2
CUST2289,Noemi Torchiere Floor Lamp,Burnished Brass,2
CUST2289,Kyoto Closed Nightstand,18'' Nightstand,3
CUST2289,Maxwell Leather Right-Arm Bench-Seat L-Sectional,Classic 72'' Sectional,1
CUST2289,Mycena Obelisk Stone Table Lamp,24'' Lamp,1
CUST2289,Maxwell Leather Right-Arm Bench-Seat L-Sectional,Classic 96'' Sectional,2
CUST2289,Kyoto Closed Nightstand,26'' Nightstand,2
CUST2289,Maxwell Leather Right-Arm Bench-Seat L-Sectional,Luxe 108'' Sectional,1
CUST7228,Byron Emperador Dining Table,84'' Dining Table,1
CUST7228,Arno Fabric Dining Armchair,Dining Chair,8
CUST7228,Mycena Obelisk Stone Table Lamp,24'' Lamp,2
CUST7228,Terreno Wall Fountain 22'',Carbon Fountain,3
CUST7228,Ligné Panel Bed with Footboard,Queen Bed,2
CUST7988,Reclaimed Oak Reeded Round Dining Table,60'' Table,1
CUST7988,Nicola Track Vegan Leather Dining Side Chair,Dining Chair,6
CUST2208,Kyoto Closed Nightstand,18'' Nightstand,2
CUST2208,Ligné Panel Bed with Footboard,Queen Bed,1
CUST4472,Orizaba Rectangular Fire Table,56'' W Fire Table,1
CUST8762,Byron Canopy Bed,King Bed 90'',1
CUST8762,Mycena Obelisk Stone Table Lamp,24'' Lamp,2
CUST8762,Arno Fabric Bar & Counter Stool,Barstool 40 1/4'' H,4
CUST8551,Melbourne Bar Cabinet,Bar Cabinet,1
